id,loan_amount,grade,purpose,home_ownership,income,dti,fico,loan_status
208319,27000.0,6,debt_consolidation,1,115000.0,14.02,715.0,1
900771,14000.0,5,debt_consolidation,1,125000.0,7.97,670.0,1
60025,10000.0,7,debt_consolidation,0,39980.0,29.5,725.0,1
1029843,7500.0,5,home_improvement,1,67000.0,13.8,670.0,0
281782,8000.0,4,debt_consolidation,1,93000.0,37.44,675.0,0
354399,6000.0,5,major_purchase,0,35000.0,10.08,735.0,1
87889,13200.0,3,debt_consolidation,1,94000.0,15.84,670.0,0
527835,9600.0,7,credit_card,1,30000.0,20.44,685.0,1
595192,10000.0,5,debt_consolidation,0,30000.0,21.72,660.0,1
56214,20900.0,4,debt_consolidation,0,67000.0,26.78,695.0,1
637338,10200.0,5,debt_consolidation,0,56000.0,22.52,670.0,0
979941,30000.0,7,debt_consolidation,1,140000.0,9.33,750.0,1
560012,18000.0,4,debt_consolidation,1,52500.0,19.98,700.0,1
29666,33400.0,3,debt_consolidation,0,95000.0,21.42,675.0,1
1511486,7000.0,5,debt_consolidation,1,60000.0,26.86,730.0,1
645193,19000.0,4,debt_consolidation,0,53000.0,16.92,675.0,0
420318,15000.0,7,debt_consolidation,0,61300.0,20.3,710.0,1
561583,6000.0,5,debt_consolidation,1,80000.0,17.76,660.0,1
218656,11200.0,6,credit_card,0,40000.0,26.07,750.0,0
230849,3000.0,6,credit_card,0,47800.0,21.52,665.0,1
1377586,10000.0,5,credit_card,0,45000.0,9.27,705.0,1
947367,18000.0,5,debt_consolidation,1,120000.0,10.82,690.0,1
206002,4000.0,6,car,1,74000.0,21.12,735.0,1
1390050,8000.0,5,debt_consolidation,1,55000.0,25.25,695.0,0
157343,15000.0,5,debt_consolidation,1,68500.0,14.49,690.0,1
437691,5000.0,7,major_purchase,1,32000.0,0.94,765.0,1
573766,4000.0,6,credit_card,1,36000.0,10.13,690.0,0
182017,15000.0,3,other,1,78000.0,13.6,670.0,0
991573,21000.0,6,home_improvement,0,75000.0,6.96,775.0,1
335083,7200.0,5,credit_card,0,19000.0,18.19,720.0,1
1254390,6000.0,6,major_purchase,1,35000.0,12.31,755.0,1
109674,12000.0,7,credit_card,0,75000.0,14.38,720.0,1
229086,19500.0,6,credit_card,1,88000.0,16.42,675.0,1
1441630,16000.0,3,debt_consolidation,1,80000.0,24.65,690.0,1
193165,10000.0,5,debt_consolidation,1,50000.0,6.94,720.0,0
1528563,10000.0,5,credit_card,0,36000.0,39.5,680.0,0
1135349,15850.0,5,small_business,0,60000.0,30.16,670.0,0
460365,8000.0,6,other,0,53000.0,17.26,660.0,0
1376525,7200.0,5,debt_consolidation,1,57000.0,22.48,695.0,0
1589376,7950.0,4,debt_consolidation,1,18981.0,14.83,670.0,1
